station_id,product,year,month,precip_mm_day
WA001,MERRA2,2000,1,0.3044346272945404
WA002,MERRA2,2000,1,0.0088158790022134
WA003,MERRA2,2000,1,0.0147784929722547
WA004,MERRA2,2000,1,5.489197519636946e-06
WA005,MERRA2,2000,1,6.514183041872457e-07
WA006,MERRA2,2000,1,1.058109164237976
WA007,MERRA2,2000,1,1.4572747945785522
WA008,MERRA2,2000,1,0.0075305174104869
WA009,MERRA2,2000,1,0.3085464239120483
WA010,MERRA2,2000,1,3.432647228240967
WA011,MERRA2,2000,1,0.8882609009742737
WA012,MERRA2,2000,1,0.4824014902114868
WA013,MERRA2,2000,1,3.119871792023332e-07
WA014,MERRA2,2000,1,0.9707102179527284
WA015,MERRA2,2000,1,0.0010871540289372
WA001,MERRA2,2000,2,0.3366195261478424
WA002,MERRA2,2000,2,0.0001269124331884086
WA003,MERRA2,2000,2,3.036649331988883e-08
WA004,MERRA2,2000,2,6.570351729351387e-08
WA005,MERRA2,2000,2,4.582260615393352e-08
WA006,MERRA2,2000,2,0.4513173401355743
WA007,MERRA2,2000,2,1.1125041246414185
WA008,MERRA2,2000,2,2.697306172194658e-06
WA009,MERRA2,2000,2,0.0018575253197923
WA010,MERRA2,2000,2,0.117543376982212
WA011,MERRA2,2000,2,0.1063212528824806
WA012,MERRA2,2000,2,0.0687694996595382
WA013,MERRA2,2000,2,7.973371296543519e-09
WA014,MERRA2,2000,2,0.7400428056716919
WA015,MERRA2,2000,2,8.68626344185941e-08
WA001,MERRA2,2000,3,0.0023306086659431
WA002,MERRA2,2000,3,0.0333669669926166
WA003,MERRA2,2000,3,0.0061972108669579
WA004,MERRA2,2000,3,0.0031973144505172
WA005,MERRA2,2000,3,0.1720058470964431
WA006,MERRA2,2000,3,2.374673843383789
WA007,MERRA2,2000,3,3.8250014781951904
WA008,MERRA2,2000,3,0.0059796595014631
WA009,MERRA2,2000,3,0.1494373977184295
WA010,MERRA2,2000,3,2.5875163078308105
WA011,MERRA2,2000,3,1.262123942375183
WA012,MERRA2,2000,3,1.5581061840057373
WA013,MERRA2,2000,3,3.512663533911109e-05
WA014,MERRA2,2000,3,2.504251003265381
WA015,MERRA2,2000,3,6.318378495961952e-07
WA001,MERRA2,2000,4,0.1117733269929885
WA002,MERRA2,2000,4,0.2082577645778656
WA003,MERRA2,2000,4,0.4310351908206939
WA004,MERRA2,2000,4,0.1553075015544891
WA005,MERRA2,2000,4,2.7904422283172607
WA006,MERRA2,2000,4,2.1504805088043213
WA007,MERRA2,2000,4,4.978298664093018
WA008,MERRA2,2000,4,0.1397977024316787
WA009,MERRA2,2000,4,0.8145531415939331
WA010,MERRA2,2000,4,7.515176773071289
WA011,MERRA2,2000,4,1.9980275630950928
WA012,MERRA2,2000,4,2.4195964336395264
WA013,MERRA2,2000,4,0.0254593547433614
WA014,MERRA2,2000,4,1.5604512691497805
WA015,MERRA2,2000,4,0.0
WA001,MERRA2,2000,5,0.036201387643814
WA002,MERRA2,2000,5,1.1787807941436768
WA003,MERRA2,2000,5,1.791130542755127
WA004,MERRA2,2000,5,0.1390665471553802
WA005,MERRA2,2000,5,7.143143177032471
WA006,MERRA2,2000,5,3.7531697750091553
WA007,MERRA2,2000,5,4.978565216064453
WA008,MERRA2,2000,5,1.8392999172210691
WA009,MERRA2,2000,5,2.5797557830810547
WA010,MERRA2,2000,5,7.296554088592529
WA011,MERRA2,2000,5,3.622483730316162
WA012,MERRA2,2000,5,3.7427918910980233
WA013,MERRA2,2000,5,0.6530044674873352
WA014,MERRA2,2000,5,2.907145500183105
WA015,MERRA2,2000,5,0.0016881490591913
WA001,MERRA2,2000,6,0.1014974564313888
WA002,MERRA2,2000,6,3.05344295501709
WA003,MERRA2,2000,6,3.597970724105835
WA004,MERRA2,2000,6,1.507255792617798
WA005,MERRA2,2000,6,16.45752716064453
WA006,MERRA2,2000,6,5.957098484039307
WA007,MERRA2,2000,6,8.946985244750977
WA008,MERRA2,2000,6,8.186790466308594
WA009,MERRA2,2000,6,11.172327995300291
WA010,MERRA2,2000,6,6.946502685546875
WA011,MERRA2,2000,6,4.7027587890625
WA012,MERRA2,2000,6,5.326513290405273
WA013,MERRA2,2000,6,2.7313456535339355
WA014,MERRA2,2000,6,4.170137405395508
WA015,MERRA2,2000,6,1.0794686079025269
WA001,MERRA2,2000,7,1.8369758129119875
WA002,MERRA2,2000,7,7.506702899932861
WA003,MERRA2,2000,7,4.595271587371826
WA004,MERRA2,2000,7,4.131667137145996
WA005,MERRA2,2000,7,18.012304306030273
WA006,MERRA2,2000,7,3.2266359329223637
